Report Date,County,Place of Fatality,Deaths by County of Residence
01/02/2022,Chautauqua,226,229
01/02/2022,Chemung,257,194
01/02/2022,Chenango,65,101
01/02/2022,Clinton,81,58
01/02/2022,Columbia,128,122
01/02/2022,Cortland,82,92
01/02/2022,Delaware,23,59
01/02/2022,Dutchess,583,538
01/02/2022,Erie,2511,2251
01/02/2022,Essex,35,48
01/02/2022,Franklin,21,32
01/02/2022,Fulton,85,133
01/02/2022,Genesee,144,162
01/02/2022,Greene,31,98
01/02/2022,Hamilton,0,4
01/02/2022,Herkimer,59,160
01/02/2022,Jefferson,107,118
01/02/2022,Kings,7067,7836
01/02/2022,Lewis,13,41
01/02/2022,Livingston,66,93
01/02/2022,Madison,106,117
01/02/2022,Manhattan,5278,3222
01/02/2022,Monroe,1569,1354
01/02/2022,Montgomery,148,177
01/02/2022,Nassau,4169,3422
01/02/2022,Niagara,309,477
01/02/2022,Non-NYS,0,384
01/02/2022,Oneida,731,706
01/02/2022,Onondaga,1077,891
01/02/2022,Ontario,198,146
01/02/2022,Orange,891,835
01/02/2022,Orleans,52,104
01/02/2022,Oswego,92,148
01/02/2022,Otsego,113,71
01/02/2022,Putnam,94,106
01/02/2022,Queens,6021,7420
01/02/2022,Rensselaer,178,216
01/02/2022,Richmond,1221,1243
01/02/2022,Rockland,771,808
01/02/2022,Saratoga,195,268
01/02/2022,Schenectady,256,268
01/02/2022,Schoharie,7,29
01/02/2022,Schuyler,5,23
01/02/2022,Seneca,33,81
01/02/2022,St. Lawrence,147,159
01/02/2022,Statewide Total,48689,48689
01/02/2022,Steuben,174,218
01/02/2022,Suffolk,3854,3834
01/02/2022,Sullivan,82,103
01/02/2022,Tioga,40,78
01/02/2022,Tompkins,77,72
01/02/2022,Ulster,178,314
01/02/2022,Warren,168,107
01/02/2022,Washington,36,92
01/02/2022,Wayne,74,131
01/02/2022,Westchester,2643,2422
01/02/2022,Wyoming,61,74
01/02/2022,Yates,24,36
01/03/2021,Albany,313,215
01/03/2021,Allegany,54,74
01/03/2021,Bronx,3258,3567
01/03/2021,Broome,233,213
01/03/2021,Cattaraugus,41,45
01/03/2021,Cayuga,23,30
01/03/2021,Chautauqua,28,25
01/03/2021,Chemung,123,99
01/03/2021,Chenango,16,24
01/03/2021,Clinton,10,8
01/03/2021,Columbia,58,61
01/03/2021,Cortland,38,39
01/03/2021,Delaware,4,12
01/03/2021,Dutchess,260,250
01/03/2021,Erie,1322,1240
01/03/2021,Essex,13,16
01/03/2021,Franklin,8,9
01/03/2021,Fulton,27,38
01/03/2021,Genesee,51,57
01/03/2021,Greene,12,29
01/03/2021,Hamilton,0,1
01/03/2021,Herkimer,14,30
01/03/2021,Jefferson,11,12
01/03/2021,Kings,4914,5467
01/03/2021,Lewis,6,17
01/03/2021,Livingston,14,26
01/03/2021,Madison,64,69
01/03/2021,Manhattan,3662,2266
01/03/2021,Monroe,677,603
01/03/2021,Montgomery,49,53
01/03/2021,Nassau,2971,2428
01/03/2021,Niagara,137,190
01/03/2021,Non-NYS,0,156
01/03/2021,Oneida,268,268
01/03/2021,Onondaga,489,448
01/03/2021,Ontario,78,67
01/03/2021,Orange,538,521
01/03/2021,Orleans,42,64
01/03/2021,Oswego,38,44
01/03/2021,Otsego,19,16
01/03/2021,Putnam,66,67
01/03/2021,Queens,4354,5409
01/03/2021,Rensselaer,75,86
01/03/2021,Richmond,899,900
01/03/2021,Rockland,554,595
01/03/2021,Saratoga,31,48
01/03/2021,Schenectady,87,91
01/03/2021,Schoharie,0,5
01/03/2021,Schuyler,4,10
01/03/2021,Seneca,24,36
01/03/2021,St. Lawrence,45,46
01/03/2021,Statewide Total,30648,30648
01/03/2021,Steuben,109,125
01/03/2021,Suffolk,2406,2361
01/03/2021,Sullivan,37,42
01/03/2021,Tioga,39,54
01/03/2021,Tompkins,18,15
01/03/2021,Ulster,90,149
01/03/2021,Warren,37,32
01/03/2021,Washington,11,16
01/03/2021,Wayne,23,42
01/03/2021,Westchester,1828,1683
01/03/2021,Wyoming,20,26
01/03/2021,Yates,8,13
01/03/2022,Albany,769,442
01/03/2022,Allegany,82,138
01/03/2022,Bronx,4356,4815
01/03/2022,Broome,554,470
01/03/2022,Cattaraugus,194,189
01/03/2022,Cayuga,92,120
01/03/2022,Chautauqua,226,229
01/03/2022,Chemung,258,194
01/03/2022,Chenango,65,101
01/03/2022,Clinton,81,58
01/03/2022,Columbia,128,122
01/03/2022,Cortland,82,92
01/03/2022,Delaware,23,59
01/03/2022,Dutchess,585,541
01/03/2022,Erie,2518,2258
01/03/2022,Essex,35,48
01/03/2022,Franklin,21,33
01/03/2022,Fulton,85,134
01/03/2022,Genesee,145,163
01/03/2022,Greene,31,98
01/03/2022,Hamilton,0,4
01/03/2022,Herkimer,59,160
01/03/2022,Jefferson,107,118
01/03/2022,Kings,7084,7853
01/03/2022,Lewis,13,41
01/03/2022,Livingston,66,93
01/03/2022,Madison,106,117
01/03/2022,Manhattan,5286,3229
01/03/2022,Monroe,1571,1356
01/03/2022,Montgomery,149,177
01/03/2022,Nassau,4177,3427
01/03/2022,Niagara,309,477
01/03/2022,Non-NYS,0,391
01/03/2022,Oneida,732,707
01/03/2022,Onondaga,1077,891
01/03/2022,Ontario,198,146
01/03/2022,Orange,895,836
01/03/2022,Orleans,52,104
01/03/2022,Oswego,93,149
01/03/2022,Otsego,113,71
01/03/2022,Putnam,94,106
01/03/2022,Queens,6038,7440
01/03/2022,Rensselaer,179,217
01/03/2022,Richmond,1223,1245
01/03/2022,Rockland,774,810
01/03/2022,Saratoga,195,268
01/03/2022,Schenectady,257,269
01/03/2022,Schoharie,7,29
01/03/2022,Schuyler,5,23
01/03/2022,Seneca,33,81
01/03/2022,St. Lawrence,148,159
01/03/2022,Statewide Total,48798,48798
01/03/2022,Steuben,175,220
01/03/2022,Suffolk,3864,3845
01/03/2022,Sullivan,82,103
01/03/2022,Tioga,40,79
01/03/2022,Tompkins,77,72
01/03/2022,Ulster,178,314
01/03/2022,Warren,169,108
01/03/2022,Washington,36,92
01/03/2022,Wayne,74,131
01/03/2022,Westchester,2648,2426
01/03/2022,Wyoming,61,74
01/03/2022,Yates,24,36
01/04/2021,Albany,316,216
01/04/2021,Allegany,54,75
01/04/2021,Bronx,3261,3571
01/04/2021,Broome,235,215
01/04/2021,Cattaraugus,43,47
01/04/2021,Cayuga,23,31
01/04/2021,Chautauqua,30,27
01/04/2021,Chemung,123,99
01/04/2021,Chenango,16,24
01/04/2021,Clinton,10,8
01/04/2021,Columbia,58,61
01/04/2021,Cortland,39,39
01/04/2021,Delaware,4,12
01/04/2021,Dutchess,264,252
01/04/2021,Erie,1331,1249
01/04/2021,Essex,13,16
01/04/2021,Franklin,8,9
01/04/2021,Fulton,28,39
01/04/2021,Genesee,57,63
01/04/2021,Greene,13,30
01/04/2021,Hamilton,0,1
01/04/2021,Herkimer,14,30
01/04/2021,Jefferson,11,12
01/04/2021,Kings,4922,5476
01/04/2021,Lewis,6,17
01/04/2021,Livingston,15,28
01/04/2021,Madison,66,71
01/04/2021,Manhattan,3671,2270
01/04/2021,Monroe,692,615
01/04/2021,Montgomery,53,57
01/04/2021,Nassau,2974,2431
01/04/2021,Niagara,139,192
01/04/2021,Non-NYS,0,157
01/04/2021,Oneida,276,276
01/04/2021,Onondaga,496,454
01/04/2021,Ontario,82,69
01/04/2021,Orange,543,526
01/04/2021,Orleans,42,64
01/04/2021,Oswego,40,47
01/04/2021,Otsego,19,16
01/04/2021,Putnam,66,67
01/04/2021,Queens,4359,5418
01/04/2021,Rensselaer,75,87
01/04/2021,Richmond,902,904
01/04/2021,Rockland,556,597
01/04/2021,Saratoga,31,48
01/04/2021,Schenectady,90,95
01/04/2021,Schoharie,0,5
01/04/2021,Schuyler,4,10
01/04/2021,Seneca,27,41
01/04/2021,St. Lawrence,46,47
01/04/2021,Statewide Total,30802,30802
01/04/2021,Steuben,109,125
01/04/2021,Suffolk,2423,2376
01/04/2021,Sullivan,40,46
01/04/2021,Tioga,39,54
01/04/2021,Tompkins,19,16
01/04/2021,Ulster,91,151
01/04/2021,Warren,37,32
01/04/2021,Washington,11,16
01/04/2021,Wayne,23,43
01/04/2021,Westchester,1838,1692
01/04/2021,Wyoming,21,27
01/04/2021,Yates,8,13
01/04/2022,Albany,772,443
01/04/2022,Allegany,82,138
01/04/2022,Bronx,4364,4824
01/04/2022,Broome,555,471
01/04/2022,Cattaraugus,197,191
01/04/2022,Cayuga,92,120
01/04/2022,Chautauqua,227,229
01/04/2022,Chemung,258,195
01/04/2022,Chenango,65,101
01/04/2022,Clinton,81,58
01/04/2022,Columbia,128,122
01/04/2022,Cortland,82,92
01/04/2022,Delaware,23,59
01/04/2022,Dutchess,588,543
01/04/2022,Erie,2521,2261
01/04/2022,Essex,35,48
01/04/2022,Franklin,21,33
01/04/2022,Fulton,85,134
01/04/2022,Genesee,145,163
01/04/2022,Greene,31,99
01/04/2022,Hamilton,0,4
01/04/2022,Herkimer,59,160
01/04/2022,Jefferson,107,118
01/04/2022,Kings,7099,7868
01/04/2022,Lewis,13,41
01/04/2022,Livingston,67,94
01/04/2022,Madison,107,118
01/04/2022,Manhattan,5295,3237
01/04/2022,Monroe,1573,1358
01/04/2022,Montgomery,149,177
01/04/2022,Nassau,4182,3430
01/04/2022,Niagara,309,477
01/04/2022,Non-NYS,0,394
01/04/2022,Oneida,732,707
01/04/2022,Onondaga,1077,891
01/04/2022,Ontario,198,146
01/04/2022,Orange,897,838
01/04/2022,Orleans,52,104
01/04/2022,Oswego,94,150
01/04/2022,Otsego,113,71
01/04/2022,Putnam,94,106
01/04/2022,Queens,6046,7449
01/04/2022,Rensselaer,180,218
01/04/2022,Richmond,1224,1246
01/04/2022,Rockland,775,811
01/04/2022,Saratoga,197,271
01/04/2022,Schenectady,258,270
01/04/2022,Schoharie,7,29
01/04/2022,Schuyler,5,23
01/04/2022,Seneca,33,81
01/04/2022,St. Lawrence,148,159
01/04/2022,Statewide Total,48898,48898
01/04/2022,Steuben,177,221
01/04/2022,Suffolk,3878,3861
01/04/2022,Sullivan,82,103
01/04/2022,Tioga,40,79
01/04/2022,Tompkins,78,73
01/04/2022,Ulster,178,314
01/04/2022,Warren,171,108
01/04/2022,Washington,36,93
01/04/2022,Wayne,76,133
01/04/2022,Westchester,2655,2433
01/04/2022,Wyoming,61,74
01/04/2022,Yates,24,36
01/05/2021,Albany,323,221
01/05/2021,Allegany,54,75
01/05/2021,Bronx,3268,3578
01/05/2021,Broome,237,217
01/05/2021,Cattaraugus,46,50
01/05/2021,Cayuga,26,34
01/05/2021,Chautauqua,31,28
01/05/2021,Chemung,123,99
01/05/2021,Chenango,18,26
01/05/2021,Clinton,11,9
01/05/2021,Columbia,59,62
01/05/2021,Cortland,41,41
01/05/2021,Delaware,5,13
01/05/2021,Dutchess,266,255
01/05/2021,Erie,1340,1257
01/05/2021,Essex,13,16
01/05/2021,Franklin,8,9
01/05/2021,Fulton,28,39
01/05/2021,Genesee,59,66
01/05/2021,Greene,13,31
01/05/2021,Hamilton,0,1
01/05/2021,Herkimer,14,30
01/05/2021,Jefferson,11,12
01/05/2021,Kings,4941,5495
01/05/2021,Lewis,6,17
01/05/2021,Livingston,15,28
01/05/2021,Madison,66,71
01/05/2021,Manhattan,3680,2277
01/05/2021,Monroe,708,630
01/05/2021,Montgomery,54,58
01/05/2021,Nassau,2991,2445
01/05/2021,Niagara,143,197
01/05/2021,Non-NYS,0,157
01/05/2021,Oneida,282,282
01/05/2021,Onondaga,508,465
01/05/2021,Ontario,83,70
01/05/2021,Orange,546,528
01/05/2021,Orleans,42,64
01/05/2021,Oswego,41,49
01/05/2021,Otsego,20,17
01/05/2021,Putnam,66,67
01/05/2021,Queens,4366,5426
01/05/2021,Rensselaer,76,88
01/05/2021,Richmond,904,908
01/05/2021,Rockland,559,600
01/05/2021,Saratoga,31,48
01/05/2021,Schenectady,90,96
01/05/2021,Schoharie,0,5
01/05/2021,Schuyler,4,10
01/05/2021,Seneca,27,41
01/05/2021,St. Lawrence,47,48
01/05/2021,Statewide Total,30965,30965
01/05/2021,Steuben,109,125
01/05/2021,Suffolk,2433,2388
01/05/2021,Sullivan,40,46
01/05/2021,Tioga,39,54
01/05/2021,Tompkins,19,16
01/05/2021,Ulster,91,151
01/05/2021,Warren,38,32
01/05/2021,Washington,11,17
01/05/2021,Wayne,23,43
01/05/2021,Westchester,1843,1697
01/05/2021,Wyoming,21,27
01/05/2021,Yates,8,13
01/05/2022,Albany,774,444
01/05/2022,Allegany,83,139
01/05/2022,Bronx,4372,4835
01/05/2022,Broome,556,472
01/05/2022,Cattaraugus,197,191
01/05/2022,Cayuga,93,121
01/05/2022,Chautauqua,228,230
01/05/2022,Chemung,258,195
01/05/2022,Chenango,65,101
01/05/2022,Clinton,82,59
01/05/2022,Columbia,129,123
01/05/2022,Cortland,82,92
01/05/2022,Delaware,23,59
01/05/2022,Dutchess,591,543
01/05/2022,Erie,2532,2271
01/05/2022,Essex,35,48
01/05/2022,Franklin,21,33
01/05/2022,Fulton,85,134
01/05/2022,Genesee,146,164
01/05/2022,Greene,31,100
01/05/2022,Hamilton,0,4
01/05/2022,Herkimer,59,160
01/05/2022,Jefferson,107,118
01/05/2022,Kings,7120,7892
01/05/2022,Lewis,13,41
01/05/2022,Livingston,68,95
01/05/2022,Madison,107,118
01/05/2022,Manhattan,5307,3244
01/05/2022,Monroe,1575,1360
01/05/2022,Montgomery,149,177
01/05/2022,Nassau,4188,3435
01/05/2022,Niagara,310,479
01/05/2022,Non-NYS,0,395
01/05/2022,Oneida,734,709
01/05/2022,Onondaga,1079,893
01/05/2022,Ontario,199,146
01/05/2022,Orange,900,842
01/05/2022,Orleans,52,104
01/05/2022,Oswego,95,151
01/05/2022,Otsego,113,71
01/05/2022,Putnam,94,106
01/05/2022,Queens,6061,7465
01/05/2022,Rensselaer,181,218
01/05/2022,Richmond,1228,1250
01/05/2022,Rockland,777,813
01/05/2022,Saratoga,198,275
01/05/2022,Schenectady,260,271
01/05/2022,Schoharie,7,29
01/05/2022,Schuyler,5,23
01/05/2022,Seneca,33,82
01/05/2022,St. Lawrence,149,160
01/05/2022,Statewide Total,49029,49029
01/05/2022,Steuben,177,221
01/05/2022,Suffolk,3895,3877
01/05/2022,Sullivan,82,103
01/05/2022,Tioga,40,79
01/05/2022,Tompkins,78,73
01/05/2022,Ulster,178,315
01/05/2022,Warren,172,109
01/05/2022,Washington,36,93
01/05/2022,Wayne,76,133
01/05/2022,Westchester,2659,2436
01/05/2022,Wyoming,61,74
01/05/2022,Yates,24,36
01/06/2021,Albany,330,224
01/06/2021,Allegany,54,75
01/06/2021,Bronx,3278,3590
01/06/2021,Broome,240,220
01/06/2021,Cattaraugus,47,51
01/06/2021,Cayuga,28,36
01/06/2021,Chautauqua,33,31
01/06/2021,Chemung,123,99
01/06/2021,Chenango,18,26
01/06/2021,Clinton,11,9
01/06/2021,Columbia,59,62
01/06/2021,Cortland,43,43
01/06/2021,Delaware,6,14
01/06/2021,Dutchess,274,260
01/06/2021,Erie,1351,1263
01/06/2021,Essex,13,16
01/06/2021,Franklin,8,9
01/06/2021,Fulton,28,39
01/06/2021,Genesee,61,67
01/06/2021,Greene,14,32
01/06/2021,Hamilton,0,1
01/06/2021,Herkimer,14,32
01/06/2021,Jefferson,11,13
01/06/2021,Kings,4957,5513
01/06/2021,Lewis,6,18
01/06/2021,Livingston,16,30
01/06/2021,Madison,66,71
01/06/2021,Manhattan,3692,2283
01/06/2021,Monroe,723,642
01/06/2021,Montgomery,55,59
01/06/2021,Nassau,3002,2452
01/06/2021,Niagara,146,203
01/06/2021,Non-NYS,0,158
01/06/2021,Oneida,289,287
01/06/2021,Onondaga,520,475
01/06/2021,Ontario,87,73
01/06/2021,Orange,552,535
01/06/2021,Orleans,42,65
01/06/2021,Oswego,41,51
01/06/2021,Otsego,20,17
01/06/2021,Putnam,66,67
01/06/2021,Queens,4375,5440
01/06/2021,Rensselaer,76,89
01/06/2021,Richmond,909,913
01/06/2021,Rockland,559,600
01/06/2021,Saratoga,32,49
01/06/2021,Schenectady,92,100
01/06/2021,Schoharie,0,5
01/06/2021,Schuyler,4,10
01/06/2021,Seneca,27,42
01/06/2021,St. Lawrence,48,48
01/06/2021,Statewide Total,31164,31164
01/06/2021,Steuben,109,126
01/06/2021,Suffolk,2454,2410
01/06/2021,Sullivan,40,46
01/06/2021,Tioga,39,54
01/06/2021,Tompkins,21,18
01/06/2021,Ulster,92,154
01/06/2021,Warren,39,32
01/06/2021,Washington,11,18
01/06/2021,Wayne,24,46
01/06/2021,Westchester,1858,1711
01/06/2021,Wyoming,23,29
01/06/2021,Yates,8,13
01/06/2022,Albany,779,446
01/06/2022,Allegany,83,139
01/06/2022,Bronx,4380,4846
01/06/2022,Broome,557,473
01/06/2022,Cattaraugus,197,191
01/06/2022,Cayuga,94,121
01/06/2022,Chautauqua,228,230
01/06/2022,Chemung,259,196
01/06/2022,Chenango,65,102
01/06/2022,Clinton,82,59
01/06/2022,Columbia,129,123
01/06/2022,Cortland,82,92
01/06/2022,Delaware,23,59
01/06/2022,Dutchess,592,544
01/06/2022,Erie,2541,2279
01/06/2022,Essex,35,48
01/06/2022,Franklin,21,33
01/06/2022,Fulton,85,135
01/06/2022,Genesee,146,164
01/06/2022,Greene,31,101
01/06/2022,Hamilton,0,4
01/06/2022,Herkimer,60,161
01/06/2022,Jefferson,107,118
01/06/2022,Kings,7139,7911
01/06/2022,Lewis,14,42
01/06/2022,Livingston,69,96
01/06/2022,Madison,107,118
01/06/2022,Manhattan,5325,3256
01/06/2022,Monroe,1581,1366
01/06/2022,Montgomery,151,178
01/06/2022,Nassau,4206,3450
01/06/2022,Niagara,314,484
01/06/2022,Non-NYS,0,395
01/06/2022,Oneida,734,709
01/06/2022,Onondaga,1082,897
01/06/2022,Ontario,199,146
01/06/2022,Orange,906,848
01/06/2022,Orleans,52,104
01/06/2022,Oswego,95,151
01/06/2022,Otsego,114,71
01/06/2022,Putnam,94,106
01/06/2022,Queens,6078,7487
01/06/2022,Rensselaer,181,219
01/06/2022,Richmond,1235,1256
01/06/2022,Rockland,778,814
01/06/2022,Saratoga,199,277
01/06/2022,Schenectady,260,271
01/06/2022,Schoharie,7,30
01/06/2022,Schuyler,5,23
01/06/2022,Seneca,33,82
01/06/2022,St. Lawrence,150,161
01/06/2022,Statewide Total,49185,49185
01/06/2022,Steuben,177,221
01/06/2022,Suffolk,3908,3890
01/06/2022,Sullivan,83,104
01/06/2022,Tioga,40,79
01/06/2022,Tompkins,78,73
01/06/2022,Ulster,179,316
01/06/2022,Warren,172,109
01/06/2022,Washington,36,93
01/06/2022,Wayne,77,134
01/06/2022,Westchester,2666,2444
01/06/2022,Wyoming,61,74
01/06/2022,Yates,24,36
01/07/2021,Albany,335,226
01/07/2021,Allegany,54,75
01/07/2021,Bronx,3285,3597
01/07/2021,Broome,243,223
01/07/2021,Cattaraugus,50,54
01/07/2021,Cayuga,30,37
01/07/2021,Chautauqua,33,31
01/07/2021,Chemung,125,101
01/07/2021,Chenango,20,28
01/07/2021,Clinton,13,11
01/07/2021,Columbia,59,62
01/07/2021,Cortland,43,43
01/07/2021,Delaware,6,14
01/07/2021,Dutchess,277,263
01/07/2021,Erie,1372,1282
01/07/2021,Essex,13,16
01/07/2021,Franklin,8,9
01/07/2021,Fulton,28,40
01/07/2021,Genesee,67,73
01/07/2021,Greene,15,35
01/07/2021,Hamilton,0,1
01/07/2021,Herkimer,14,32
01/07/2021,Jefferson,11,14
01/07/2021,Kings,4969,5526
01/07/2021,Lewis,6,18
01/07/2021,Livingston,16,30
01/07/2021,Madison,67,72
01/07/2021,Manhattan,3696,2284
01/07/2021,Monroe,737,656
01/07/2021,Montgomery,56,59
01/07/2021,Nassau,3013,2462
01/07/2021,Niagara,149,208
01/07/2021,Non-NYS,0,158
01/07/2021,Oneida,290,288
01/07/2021,Onondaga,533,487
01/07/2021,Ontario,88,73
01/07/2021,Orange,557,540
01/07/2021,Orleans,42,65
01/07/2021,Oswego,42,53
01/07/2021,Otsego,23,20
01/07/2021,Putnam,67,68
01/07/2021,Queens,4386,5454
01/07/2021,Rensselaer,76,89
01/07/2021,Richmond,912,917
01/07/2021,Rockland,559,600
01/07/2021,Saratoga,34,51
01/07/2021,Schenectady,92,101
01/07/2021,Schoharie,0,5
01/07/2021,Schuyler,4,10
01/07/2021,Seneca,27,43
01/07/2021,St. Lawrence,48,48
01/07/2021,Statewide Total,31329,31329
01/07/2021,Steuben,109,126
01/07/2021,Suffolk,2467,2423
01/07/2021,Sullivan,41,47
01/07/2021,Tioga,39,54
01/07/2021,Tompkins,21,18
01/07/2021,Ulster,94,158
01/07/2021,Warren,39,32
01/07/2021,Washington,11,18
01/07/2021,Wayne,24,46
01/07/2021,Westchester,1863,1713
01/07/2021,Wyoming,23,29
01/07/2021,Yates,8,13
01/07/2022,Albany,781,447
01/07/2022,Allegany,83,139
01/07/2022,Bronx,4390,4855
01/07/2022,Broome,559,475
01/07/2022,Cattaraugus,198,192
01/07/2022,Cayuga,95,122
01/07/2022,Chautauqua,229,231
01/07/2022,Chemung,260,197
